vaultIdx,tokenName,owner,cdr,collateral,debt
99,WETH,0xA4c63A2E8D0556dDB36C6544625284c663642387,153747565384951170,570880409880948160,6875.662575482439
100,WETH,0x4127143a866Bf5D8AD2AFb6de8e63164B8Ad5bF6,113058563027751630,14440295158463363000,236510.41582067352
101,WETH,0xE7C7c82Ffc1fb3a85061F233805E39c15b39780b,0,0,0
102,WETH,0x29C3e6eDc2385c4F85248b8B7E43CcE8dCD6bd78,105295742192799310,142161111111111100,2500.0440549226673
104,WETH,0xeeFD6537Adbda7b1A9Da3f6607dDA26b048489c2,105126471979151570,59610631991764000,1050
105,WETH,0xE87c09608c6306cB72977ddf65BcBC8200Cc9A96,122323386181098220,231206413264268400,3500
106,WETH,0x3585C5691D442442685623F071E0Fcc9f5AE1e8E,114274886669310260,49598247769168,0.8036985729627222
107,WETH,0x741DF195c5c1d860A13AF1A984303feB1cc7F001,0,0,0
108,WETH,0x8D9EA09C1087c75FAa39151557De6a30c2A49e7e,0,0,0
109,WETH,0xC38899D01dC59A92e38cbe5FeeC9FADD0eb063B9,0,0,0
110,WETH,0x2D6c3Aaaa53BE2989F8C0a49CD143BBae8a3aeac,96279508052094900,2255555555555555600,43380.777212
111,WETH,0x1F0F85c19EE2b3d6589f9c86BB876f6904c7D595,0,0,0
112,WETH,0x0A0AE914771Ec0a5851049864cCC27B1bAa8CD43,0,0,0
113,WETH,0xd4EE605BB2F412a082CEA8cEA299E3fCB33D2877,0,0,0
114,WETH,0x69d6c073b693c250E26B9dAaa439bfcb4993a6e4,0,0,0
115,WETH,0x763c823E2bdd66538C85736B1784031Fa4d993F6,0,0,0
116,WETH,0x34Ff77A853A14579d2120Ac08C5e342CEe08AD71,102873888888888900,555555555555555.56,10
117,WETH,0xCe82505bE9badCd2Bf727714151dD5d868B705B4,193985987793454340,419037306288615200,4000
118,WETH,0x80B3153F39Aeec1EF68Adc038913698e103E6e1d,98399736484488450,5798611111111111000,109120.84255906937
119,WETH,0xDFAede01e3D60F1Ffe05C81df3fF99A3b11b0ed0,95506229958167630,777777777777777800,15080.005200448983
120,WETH,0x3888132606615fC0759853b6eC1107E717D0Ae52,133325177243333340,72000333333333336,1000
121,WETH,0x1D6128628d63415a0aAAeD455eD1Ea38D880f645,0,0,0
122,WETH,0x26E3ff43B7dc911A752F2E44378516aE575dD4C9,147452574074074080,238888888888888900,3000
123,WETH,0xe0D96d1e847D222aaf54366B74DB508A393b8D8A,Infinity,11111111111111.111,0
124,WETH,0x2c362fd5bD900B73C4BF140B7cd6875A56b0e7b6,0,0,0
125,WETH,0xB711f182d3E607096A4Dc5960A7c09B1A9697D36,Infinity,2055555555555555.5,0
126,WETH,0x4Bf1fBC233Cd6109c35a4cd9D34540173Af3234c,0,0,0
127,WETH,0x881DD85238ca7a71d12e6499405c9A51A25355C6,0,0,0
128,WETH,0x5D6eFEe9B5BEC7E248C2a3bCf06683f83ADe5015,0,0,0
129,WETH,0x0E79EEC7C868d82eedF8EBA351d4047823a53498,104183476150921570,112525558424739630,2000
130,WETH,0xc540eb6c7B3e44Ef8A45dB3aD8618404bAEd88F6,0,0,0
131,WETH,0xE456ff3e321be2675A5aEB56b3623586254C3419,0,0,0
132,WETH,0x1ddb7E407d926e5ba58cb5c4c6CFB4276b5bC797,Infinity,4777777777777778,0
133,WETH,0xe85E9F4d708EB92D3Ab8B444839C75042aa6a30f,5306522990784468000,35761420561718052,12.47907441685478
134,WETH,0x9a2f065D278F5674ec4D7b638C87aB934AF5B0b7,0,0,0
135,WETH,0x4A83B22d21AE473E89Ec8337B1AFe65fa6Ae3E10,73816919457750260,808397662669348.5,20.27901211390291
136,WETH,0xC0aEf1759A279CED58223F34E0fe6426610B1bEE,115904581481481470,18777777777777776,300
137,WETH,0xB41a129c22b8f135fc1b81E93eE1d4eca49C31B9,0,0,0
138,WETH,0x3823199232eBCDfC911336e44AF987aeDc36Aa44,0,0,0
139,WETH,0xD3f85ADe70adF48ED17C8Cb182B8B1aFf542E51F,95787020987654320,2327777777777777700,45000
140,WETH,0x189e52934D6CB392Ec7d2617535A5eA528A48942,0,0,0
141,WETH,0x27a333a11a8cC8545A76ba1D36A23742c2F4B97C,Infinity,39611111111111110,0
142,WETH,0xA7871c77cfDcA9BC4477666C5663ba1217031344,0,0,0
143,WETH,0x06d769d6Fd47e8db4b35E0BE76c345Bd095A9F3e,0,0,0
144,WETH,0xD05D008a14297fDc004E241c4f4c673b61Dabb5f,0,0,0
146,WETH,0xC38899D01dC59A92e38cbe5FeeC9FADD0eb063B9,0,0,0
147,WETH,0xde6D22B7B9ff1b05aD580e073bFc6fcc00CEb561,0,0,0
148,WETH,0x1B27bB3d2B52135d29d18B73470eae6c6001314f,132266428571428580,25000000000000000,350
149,WETH,0x5D98609F4a43ED4d36DAe38A58365B352109C7a6,122537087791961010,304749971565326140,4605.256049537706
150,WETH,0xfa4a45D755eA1c2b72Dd581b3E05dde3bFc13fad,150881703703703700,61111111111111110,750
151,WETH,0x53A385d47D3a011539Ec377f53aCB410F53ff97d,114180414250303490,2466459240824601.5,40
152,WETH,0x84aCb4278360AB4A09dF2f963A14724f51098518,97730194444444450,527777777777777800,10000
153,WETH,0xC935B59c7f810cEC91e46B45F03A4ac4Cc0e915e,0,0,0
154,WETH,0x33c65c02b7c0c2D33467Df8C636d8816Ce3a3248,0,0,0
155,WETH,0x4DF63292685347560cf93624044c09261cBea1b7,0,0,0
156,WETH,0x88c83537C12a90E8f361912A7239e9a8B9dFd92c,0,0,0
157,WETH,0x3811Eb9e4E525765AAAB95A8fb3c04061Ece3321,Infinity,8291232892133959,0
158,WETH,0xDe93A283495fA2834047B53871A8E4e09f96d841,0,0,0
159,WETH,0xa12AE3EBF9A3eBBeb0fA77D56848209cEd868F60,171776620061477980,44444444444444450,479.10542821052525
160,WETH,0xB96CeA6123a53E69CC95F63B63fe3D35526d2B87,98410923693696130,42789858301830600,805.1470440402372
161,WETH,0x1793202d781BA4C2590218d66C7889db4CDE26b0,0,0,0
